NATLOC,OCC,DECILE,ENERGIE,ETIQUETTE,NB_LOG
MA,G,D4,Gaz,B,257.8236106
AP,LP,D4,Gaz,B,12735.56809
MA,LP,D4,Gaz,B,3084.756381
AP,LS,D4,Gaz,B,29734.05067
MA,LS,D4,Gaz,B,5973.849161
AP,P,D4,Gaz,B,8441.49133
MA,P,D4,Gaz,B,14690.47637
AP,G,D5,Gaz,B,538.7975868
MA,G,D5,Gaz,B,258.4032026
AP,LP,D5,Gaz,B,13170.65142
MA,LP,D5,Gaz,B,3123.342585
AP,LS,D5,Gaz,B,24783.77568
MA,LS,D5,Gaz,B,5062.58952
AP,P,D5,Gaz,B,10233.61021
MA,P,D5,Gaz,B,17823.25384
AP,G,D6,Gaz,B,652.1633799
MA,G,D6,Gaz,B,390.5345504
AP,LP,D6,Gaz,B,13972.40458
MA,LP,D6,Gaz,B,3275.319408
AP,LS,D6,Gaz,B,19034.35279
MA,LS,D6,Gaz,B,3342.661547
AP,P,D6,Gaz,B,13220.11549
MA,P,D6,Gaz,B,20468.71579
AP,G,D7,Gaz,B,520.813509
MA,G,D7,Gaz,B,243.0703727
AP,LP,D7,Gaz,B,14723.03195
MA,LP,D7,Gaz,B,3364.565648
AP,LS,D7,Gaz,B,14506.30831
MA,LS,D7,Gaz,B,2590.944876
AP,P,D7,Gaz,B,15080.43952
MA,P,D7,Gaz,B,22925.42571
AP,G,D8,Gaz,B,746.7617143
MA,G,D8,Gaz,B,294.7272123
AP,LP,D8,Gaz,B,14071.54489
MA,LP,D8,Gaz,B,2855.428126
AP,LS,D8,Gaz,B,9874.980603
MA,LS,D8,Gaz,B,1558.629252
AP,P,D8,Gaz,B,18218.83767
MA,P,D8,Gaz,B,25292.53154
AP,G,D9,Gaz,B,450.6382921
MA,G,D9,Gaz,B,287.388305
AP,LP,D9,Gaz,B,12359.77362
MA,LP,D9,Gaz,B,3007.854803
AP,LS,D9,Gaz,B,6131.268596
MA,LS,D9,Gaz,B,989.9861064
AP,P,D9,Gaz,B,20541.59773
MA,P,D9,Gaz,B,28034.55259
AP,G,D10,Gaz,B,687.2722334
MA,G,D10,Gaz,B,202.5026505
AP,LP,D10,Gaz,B,10743.22635
MA,LP,D10,Gaz,B,2640.800202
AP,LS,D10,Gaz,B,2464.781642
MA,LS,D10,Gaz,B,485.3633717
AP,P,D10,Gaz,B,25210.93669
