Housing type,Occupancy status,Income class,Heating energy,Energy performance,Income class owner,Stock buildings
Multi-family,Landlords,D5,Natural gas,G,D4,99.7424399805935
Multi-family,Landlords,D5,Natural gas,G,D5,221.17401694911064
Multi-family,Landlords,D5,Natural gas,G,D6,168.5828422706659
Multi-family,Landlords,D5,Natural gas,G,D7,218.85448459843144
Multi-family,Landlords,D5,Natural gas,G,D8,321.99506061420453
Multi-family,Landlords,D5,Natural gas,G,D9,508.6823271627928
Single-family,Landlords,D5,Natural gas,G,D1,27.229616377418292
Single-family,Landlords,D5,Natural gas,G,D10,156.90333151307573
Single-family,Landlords,D5,Natural gas,G,D2,32.09689337870753
Single-family,Landlords,D5,Natural gas,G,D3,50.285018293191925
Single-family,Landlords,D5,Natural gas,G,D4,53.467181978721136
Single-family,Landlords,D5,Natural gas,G,D5,71.70105493317047
Single-family,Landlords,D5,Natural gas,G,D6,89.58771562615179
Single-family,Landlords,D5,Natural gas,G,D7,74.54039234503496
Single-family,Landlords,D5,Natural gas,G,D8,93.28680804795327
Single-family,Landlords,D5,Natural gas,G,D9,88.12263360657482
Multi-family,Landlords,D6,Natural gas,G,D1,111.9469819329908
Multi-family,Landlords,D6,Natural gas,G,D10,853.4950607672351
Multi-family,Landlords,D6,Natural gas,G,D2,73.71180693561635
Multi-family,Landlords,D6,Natural gas,G,D3,70.78434307315892
Multi-family,Landlords,D6,Natural gas,G,D4,125.51016095222761
Multi-family,Landlords,D6,Natural gas,G,D5,129.4195469335067
Multi-family,Landlords,D6,Natural gas,G,D6,193.18346043131044
Multi-family,Landlords,D6,Natural gas,G,D7,201.90950536256454
Multi-family,Landlords,D6,Natural gas,G,D8,299.06595351826587
Multi-family,Landlords,D6,Natural gas,G,D9,552.3266350931236
Single-family,Landlords,D6,Natural gas,G,D1,30.965879533541774
Single-family,Landlords,D6,Natural gas,G,D10,133.1420286462149
Single-family,Landlords,D6,Natural gas,G,D2,27.03411450018552
Single-family,Landlords,D6,Natural gas,G,D3,37.13297932504626
Single-family,Landlords,D6,Natural gas,G,D4,53.34715344455411
Single-family,Landlords,D6,Natural gas,G,D5,56.11188417170398
Single-family,Landlords,D6,Natural gas,G,D6,64.82698931615634
Single-family,Landlords,D6,Natural gas,G,D7,57.52231158001954
Single-family,Landlords,D6,Natural gas,G,D8,101.4920423802259
Single-family,Landlords,D6,Natural gas,G,D9,103.37544700235168
Multi-family,Landlords,D7,Natural gas,G,D1,99.28776531127967
Multi-family,Landlords,D7,Natural gas,G,D10,986.954198048624
Multi-family,Landlords,D7,Natural gas,G,D2,55.85274536888266
Multi-family,Landlords,D7,Natural gas,G,D3,83.99821482019242
Multi-family,Landlords,D7,Natural gas,G,D4,122.51393968995374
Multi-family,Landlords,D7,Natural gas,G,D5,116.36266168626393
Multi-family,Landlords,D7,Natural gas,G,D6,214.20215446802925
Multi-family,Landlords,D7,Natural gas,G,D7,244.01509056662056
Multi-family,Landlords,D7,Natural gas,G,D8,271.0749414226502
Multi-family,Landlords,D7,Natural gas,G,D9,500.6774316175039
Single-family,Landlords,D7,Natural gas,G,D1,20.557151533378548
Single-family,Landlords,D7,Natural gas,G,D10,142.01501765394835
Single-family,Landlords,D7,Natural gas,G,D2,17.192387009885195
Single-family,Landlords,D7,Natural gas,G,D3,29.6179602577903
Single-family,Landlords,D7,Natural gas,G,D4,50.666280051990995
Single-family,Landlords,D7,Natural gas,G,D5,52.93220117089504
Single-family,Landlords,D7,Natural gas,G,D6,71.65698868729525
Single-family,Landlords,D7,Natural gas,G,D7,79.07545725685328
Single-family,Landlords,D7,Natural gas,G,D8,82.51250906555234
Single-family,Landlords,D7,Natural gas,G,D9,126.21154561241066
Multi-family,Landlords,D8,Natural gas,G,D1,131.4976778676867
Multi-family,Landlords,D8,Natural gas,G,D10,1059.1802439942433
Multi-family,Landlords,D8,Natural gas,G,D2,56.25931582326522
Multi-family,Landlords,D8,Natural gas,G,D3,38.27990490927046
Multi-family,Landlords,D8,Natural gas,G,D4,83.66557332835934
Multi-family,Landlords,D8,Natural gas,G,D5,78.00512223838622
Multi-family,Landlords,D8,Natural gas,G,D6,129.43659985847432
Multi-family,Landlords,D8,Natural gas,G,D7,258.3759640931683
Multi-family,Landlords,D8,Natural gas,G,D8,339.8908426528073
Multi-family,Landlords,D8,Natural gas,G,D9,402.34747823433906
Single-family,Landlords,D8,Natural gas,G,D1,8.330939326435058
Single-family,Landlords,D8,Natural gas,G,D10,108.27544999345544
Single-family,Landlords,D8,Natural gas,G,D2,19.418181890042803
Single-family,Landlords,D8,Natural gas,G,D3,25.413734914468815
Single-family,Landlords,D8,Natural gas,G,D4,33.110799667655854
Single-family,Landlords,D8,Natural gas,G,D5,57.72082482425119
Single-family,Landlords,D8,Natural gas,G,D6,47.43601191071782
Single-family,Landlords,D8,Natural gas,G,D7,76.61579379685487
Single-family,Landlords,D8,Natural gas,G,D8,98.05929001786564
Single-family,Landlords,D8,Natural gas,G,D9,120.59009055825248
Multi-family,Landlords,D9,Natural gas,G,D1,86.8031882176923
Multi-family,Landlords,D9,Natural gas,G,D10,1207.018694187732
Multi-family,Landlords,D9,Natural gas,G,D2,57.410888969696224
Multi-family,Landlords,D9,Natural gas,G,D3,75.25262339930327
Multi-family,Landlords,D9,Natural gas,G,D4,100.71001122692577
Multi-family,Landlords,D9,Natural gas,G,D5,117.2114966973202
Multi-family,Landlords,D9,Natural gas,G,D6,127.38124605593028
Multi-family,Landlords,D9,Natural gas,G,D7,164.67531411137557
Multi-family,Landlords,D9,Natural gas,G,D8,333.54967632089136
Multi-family,Landlords,D9,Natural gas,G,D9,460.13754681313304
Single-family,Landlords,D9,Natural gas,G,D1,20.942098872058317
Single-family,Landlords,D9,Natural gas,G,D10,129.83995201466357
Single-family,Landlords,D9,Natural gas,G,D2,27.896486425724927
Single-family,Landlords,D9,Natural gas,G,D3,32.19640185684376
Single-family,Landlords,D9,Natural gas,G,D4,19.441629651803215
Single-family,Landlords,D9,Natural gas,G,D5,21.304754424187266
Single-family,Landlords,D9,Natural gas,G,D6,43.70989559986914
Single-family,Landlords,D9,Natural gas,G,D7,31.820250209623396
Single-family,Landlords,D9,Natural gas,G,D8,96.79122023641591
Single-family,Landlords,D9,Natural gas,G,D9,90.07136090881059
Multi-family,Landlords,D10,Natural gas,G,D1,125.95625975398286
Multi-family,Landlords,D10,Natural gas,G,D10,1983.2316078219296
Multi-family,Landlords,D10,Natural gas,G,D2,103.81478790539143
Multi-family,Landlords,D10,Natural gas,G,D3,64.73298430453757
Multi-family,Landlords,D10,Natural gas,G,D4,106.66098509173756
Multi-family,Landlords,D10,Natural gas,G,D5,139.86458055700797
Multi-family,Landlords,D10,Natural gas,G,D6,140.59671128527282
Multi-family,Landlords,D10,Natural gas,G,D7,259.1151773009175
Multi-family,Landlords,D10,Natural gas,G,D8,375.7033626964812
Multi-family,Landlords,D10,Natural gas,G,D9,664.2732912827422
Single-family,Landlords,D10,Natural gas,G,D1,24.781916526437236
Single-family,Landlords,D10,Natural gas,G,D10,141.26449023220593
Single-family,Landlords,D10,Natural gas,G,D2,3.46029526670622
Single-family,Landlords,D10,Natural gas,G,D3,14.607662866553252
Single-family,Landlords,D10,Natural gas,G,D4,19.936071956439616
Single-family,Landlords,D10,Natural gas,G,D5,9.477038653147686
Single-family,Landlords,D10,Natural gas,G,D6,30.517975584534405
Single-family,Landlords,D10,Natural gas,G,D7,15.607171616632849
Single-family,Landlords,D10,Natural gas,G,D8,40.09033068554625
Single-family,Landlords,D10,Natural gas,G,D9,78.91016361179655
Multi-family,Landlords,D1,Oil fuel,A,D1,5.185856564219673
Multi-family,Landlords,D1,Oil fuel,A,D10,33.97923431855855
Multi-family,Landlords,D1,Oil fuel,A,D2,1.823381016557429
Multi-family,Landlords,D1,Oil fuel,A,D3,3.7820230358702736
Multi-family,Landlords,D1,Oil fuel,A,D4,2.2266688717463103
Multi-family,Landlords,D1,Oil fuel,A,D5,1.4343678209295065
Multi-family,Landlords,D1,Oil fuel,A,D6,4.133252006169355
Multi-family,Landlords,D1,Oil fuel,A,D7,5.7892672847634445
Multi-family,Landlords,D1,Oil fuel,A,D8,13.94099315491933
Multi-family,Landlords,D1,Oil fuel,A,D9,14.566580782596278
Multi-family,Landlords,D1,Wood fuel,A,D1,0.45394462541126623
Multi-family,Landlords,D1,Wood fuel,A,D10,2.9743766730695693
Multi-family,Landlords,D1,Wood fuel,A,D2,0.1596098932342383
Multi-family,Landlords,D1,Wood fuel,A,D3,0.33105987584777063
Multi-family,Landlords,D1,Wood fuel,A,D4,0.1949117478246143
Multi-family,Landlords,D1,Wood fuel,A,D5,0.12555757281570612
Multi-family,Landlords,D1,Wood fuel,A,D6,0.36180474921277317
Multi-family,Landlords,D1,Wood fuel,A,D7,0.5067642609168621
Multi-family,Landlords,D1,Wood fuel,A,D8,1.2203266398138675
Multi-family,Landlords,D1,Wood fuel,A,D9,1.2750875337551109
Single-family,Landlords,D1,Oil fuel,A,D1,33.80682744561941
Single-family,Landlords,D1,Oil fuel,A,D10,30.981900694756213
Single-family,Landlords,D1,Oil fuel,A,D2,9.747534645230902
Single-family,Landlords,D1,Oil fuel,A,D3,15.174990757225036
Single-family,Landlords,D1,Oil fuel,A,D4,21.250215246758604
Single-family,Landlords,D1,Oil fuel,A,D5,5.988697846784417
Single-family,Landlords,D1,Oil fuel,A,D6,25.25437569548514
Single-family,Landlords,D1,Oil fuel,A,D7,31.20132206314927
Single-family,Landlords,D1,Oil fuel,A,D8,17.406461995258006
Single-family,Landlords,D1,Oil fuel,A,D9,22.407014457971417
Single-family,Landlords,D1,Wood fuel,A,D1,14.119095334324111
Single-family,Landlords,D1,Wood fuel,A,D10,12.939291930053823
Single-family,Landlords,D1,Wood fuel,A,D2,4.070963806113531
Single-family,Landlords,D1,Wood fuel,A,D3,6.3376884903913195
Single-family,Landlords,D1,Wood fuel,A,D4,8.874947388261063
Single-family,Landlords,D1,Wood fuel,A,D5,2.501121880283596
Single-family,Landlords,D1,Wood fuel,A,D6,10.547246369892529
Single-family,Landlords,D1,Wood fuel,A,D7,13.030931147715192
Single-family,Landlords,D1,Wood fuel,A,D8,7.269640925036951
Single-family,Landlords,D1,Wood fuel,A,D9,9.35807341870735
Multi-family,Landlords,D2,Oil fuel,A,D1,1.7743156190343798
Multi-family,Landlords,D2,Oil fuel,A,D10,22.37564799518342
Multi-family,Landlords,D2,Oil fuel,A,D2,0.9770284588596264
Multi-family,Landlords,D2,Oil fuel,A,D3,1.0333272973955157
Multi-family,Landlords,D2,Oil fuel,A,D4,3.057229007778186
Multi-family,Landlords,D2,Oil fuel,A,D5,2.994109108724766
Multi-family,Landlords,D2,Oil fuel,A,D6,10.86104990170978
Multi-family,Landlords,D2,Oil fuel,A,D7,3.675962516329581
Multi-family,Landlords,D2,Oil fuel,A,D8,7.6618207216869285
Multi-family,Landlords,D2,Oil fuel,A,D9,21.719580308285977
Multi-family,Landlords,D2,Wood fuel,A,D1,0.15531494731287784
Multi-family,Landlords,D2,Wood fuel,A,D10,1.9586552427209822
Multi-family,Landlords,D2,Wood fuel,A,D2,0.085524312576107
Multi-family,Landlords,D2,Wood fuel,A,D3,0.09045243869255103
Multi-family,Landlords,D2,Wood fuel,A,D4,0.2676149368086413
Multi-family,Landlords,D2,Wood fuel,A,D5,0.26208972827713356
Multi-family,Landlords,D2,Wood fuel,A,D6,0.9507234085921135
Multi-family,Landlords,D2,Wood fuel,A,D7,0.32177585454528995
Multi-family,Landlords,D2,Wood fuel,A,D8,0.670678468330872
Multi-family,Landlords,D2,Wood fuel,A,D9,1.90122627285168
Single-family,Landlords,D2,Oil fuel,A,D1,20.214474007669523
Single-family,Landlords,D2,Oil fuel,A,D10,30.589876230050216
Single-family,Landlords,D2,Oil fuel,A,D2,19.223248286493824
Single-family,Landlords,D2,Oil fuel,A,D3,7.164784258055649
Single-family,Landlords,D2,Oil fuel,A,D4,9.875790731510405
Single-family,Landlords,D2,Oil fuel,A,D5,16.627490637020927
Single-family,Landlords,D2,Oil fuel,A,D6,8.711617028459418
Single-family,Landlords,D2,Oil fuel,A,D7,24.628747816700244
Single-family,Landlords,D2,Oil fuel,A,D8,20.42604351120478
Single-family,Landlords,D2,Oil fuel,A,D9,33.84305001636568
Single-family,Landlords,D2,Wood fuel,A,D1,8.442380051976317
Single-family,Landlords,D2,Wood fuel,A,D10,12.775566694390266
Single-family,Landlords,D2,Wood fuel,A,D2,8.028404192288622
Single-family,Landlords,D2,Wood fuel,A,D3,2.9923030237627457
Single-family,Landlords,D2,Wood fuel,A,D4,4.124528723209066
Single-family,Landlords,D2,Wood fuel,A,D5,6.944311052325619
Single-family,Landlords,D2,Wood fuel,A,D6,3.6383228073913165
Single-family,Landlords,D2,Wood fuel,A,D7,10.285958922006925
Single-family,Landlords,D2,Wood fuel,A,D8,8.530740014029988
Single-family,Landlords,D2,Wood fuel,A,D9,14.134223341542283
Multi-family,Landlords,D3,Oil fuel,A,D1,0.6074803501443703
Multi-family,Landlords,D3,Oil fuel,A,D10,24.709729015171494
Multi-family,Landlords,D3,Oil fuel,A,D2,0.6966036228037008
Multi-family,Landlords,D3,Oil fuel,A,D3,0.554683857733274
Multi-family,Landlords,D3,Oil fuel,A,D4,0.2403040980888178
Multi-family,Landlords,D3,Oil fuel,A,D5,2.108042940915478
Multi-family,Landlords,D3,Oil fuel,A,D6,2.390796610576422
Multi-family,Landlords,D3,Oil fuel,A,D7,4.488853714123976
Multi-family,Landlords,D3,Oil fuel,A,D8,9.172514285581977
Multi-family,Landlords,D3,Oil fuel,A,D9,11.569159072469756
Multi-family,Landlords,D3,Wood fuel,A,D1,0.053175871059304096
Multi-family,Landlords,D3,Wood fuel,A,D10,2.162969326841331
Multi-family,Landlords,D3,Wood fuel,A,D2,0.06097728826430415
Multi-family,Landlords,D3,Wood fuel,A,D3,0.04855432326410582
Multi-family,Landlords,D3,Wood fuel,A,D4,0.02103505032213223
Multi-family,Landlords,D3,Wood fuel,A,D5,0.18452781161885698
Multi-family,Landlords,D3,Wood fuel,A,D6,0.20927869068163182
Multi-family,Landlords,D3,Wood fuel,A,D7,0.3929323907342962
Multi-family,Landlords,D3,Wood fuel,A,D8,0.8029172249338018
Multi-family,Landlords,D3,Wood fuel,A,D9,1.0127078364856161
Single-family,Landlords,D3,Oil fuel,A,D1,6.32998507365839
Single-family,Landlords,D3,Oil fuel,A,D10,42.87366143096892
Single-family,Landlords,D3,Oil fuel,A,D2,5.400348521488543
Single-family,Landlords,D3,Oil fuel,A,D3,19.374492380251592
Single-family,Landlords,D3,Oil fuel,A,D4,18.418676154583455
Single-family,Landlords,D3,Oil fuel,A,D5,8.48908352988528
Single-family,Landlords,D3,Oil fuel,A,D6,9.749440501640876
Single-family,Landlords,D3,Oil fuel,A,D7,10.087993601129025
Single-family,Landlords,D3,Oil fuel,A,D8,25.42273046490532
Single-family,Landlords,D3,Oil fuel,A,D9,34.09833032538897
Single-family,Landlords,D3,Wood fuel,A,D1,2.643657198049568
Single-family,Landlords,D3,Wood fuel,A,D10,17.90577107683681
Single-family,Landlords,D3,Wood fuel,A,D2,2.255403460621177
Single-family,Landlords,D3,Wood fuel,A,D3,8.09156982893271
Single-family,Landlords,D3,Wood fuel,A,D4,7.692382403433813
Single-family,Landlords,D3,Wood fuel,A,D5,3.545383838583818
Single-family,Landlords,D3,Wood fuel,A,D6,4.071759768656581
Single-family,Landlords,D3,Wood fuel,A,D7,4.213153204497111
Single-family,Landlords,D3,Wood fuel,A,D8,10.617558115153315
Single-family,Landlords,D3,Wood fuel,A,D9,14.240838699811956
Multi-family,Landlords,D4,Oil fuel,A,D1,0.7601139003511155
Multi-family,Landlords,D4,Oil fuel,A,D10,21.6743609901448
Multi-family,Landlords,D4,Oil fuel,A,D2,1.230715604931187
Multi-family,Landlords,D4,Oil fuel,A,D3,2.1452291755314596
Multi-family,Landlords,D4,Oil fuel,A,D4,1.3947875539031516
Multi-family,Landlords,D4,Oil fuel,A,D5,1.6299253527496433
Multi-family,Landlords,D4,Oil fuel,A,D6,2.966110483629686
Multi-family,Landlords,D4,Oil fuel,A,D7,2.769316062782557
Multi-family,Landlords,D4,Oil fuel,A,D8,6.422437657167354
Multi-family,Landlords,D4,Oil fuel,A,D9,9.39231748055098
Multi-family,Landlords,D4,Wood fuel,A,D1,0.06653666862779958
Multi-family,Landlords,D4,Wood fuel,A,D10,1.8972679939867043
Multi-family,Landlords,D4,Wood fuel,A,D2,0.1077308497352072
Multi-family,Landlords,D4,Wood fuel,A,D3,0.187782913477955
Multi-family,Landlords,D4,Wood fuel,A,D4,0.12209290901977247
Multi-family,Landlords,D4,Wood fuel,A,D5,0.14267572666919615
Multi-family,Landlords,D4,Wood fuel,A,D6,0.2596388650063465
Multi-family,Landlords,D4,Wood fuel,A,D7,0.24241243991182224
Multi-family,Landlords,D4,Wood fuel,A,D8,0.5621889113990053
Multi-family,Landlords,D4,Wood fuel,A,D9,0.8221577260484746
Single-family,Landlords,D4,Oil fuel,A,D1,1.9076886463205365
Single-family,Landlords,D4,Oil fuel,A,D10,33.529342395514504
Single-family,Landlords,D4,Oil fuel,A,D2,4.8581915996065606
Single-family,Landlords,D4,Oil fuel,A,D3,9.873141769851758
Single-family,Landlords,D4,Oil fuel,A,D4,12.160225948552299
Single-family,Landlords,D4,Oil fuel,A,D5,9.017460465481404
Single-family,Landlords,D4,Oil fuel,A,D6,7.782885107009838
Single-family,Landlords,D4,Oil fuel,A,D7,21.923085583568465
Single-family,Landlords,D4,Oil fuel,A,D8,18.50360989409141
Single-family,Landlords,D4,Oil fuel,A,D9,44.65345792248984
Single-family,Landlords,D4,Wood fuel,A,D1,0.7967277588804774
Single-family,Landlords,D4,Wood fuel,A,D10,14.003206380159959
Single-family,Landlords,D4,Wood fuel,A,D2,2.0289768526074963
Single-family,Landlords,D4,Wood fuel,A,D3,4.1234224099279535
Single-family,Landlords,D4,Wood fuel,A,D4,5.078601052722533
Single-family,Landlords,D4,Wood fuel,A,D5,3.7660553682663935
Single-family,Landlords,D4,Wood fuel,A,D6,3.250446880255902
Single-family,Landlords,D4,Wood fuel,A,D7,9.155965192973419
Single-family,Landlords,D4,Wood fuel,A,D8,7.727854160348669
Single-family,Landlords,D4,Wood fuel,A,D9,18.649085911093334
Multi-family,Landlords,D5,Oil fuel,A,D1,2.5287082077006997
Multi-family,Landlords,D5,Oil fuel,A,D10,22.404151034657726
Multi-family,Landlords,D5,Oil fuel,A,D2,0.3344693866857997
Multi-family,Landlords,D5,Oil fuel,A,D3,0.5766249518118831
Multi-family,Landlords,D5,Oil fuel,A,D4,1.3838676955905251
Multi-family,Landlords,D5,Oil fuel,A,D5,3.665273745972518
Multi-family,Landlords,D5,Oil fuel,A,D6,1.600089827745808
Multi-family,Landlords,D5,Oil fuel,A,D7,2.9058135951167454
Multi-family,Landlords,D5,Oil fuel,A,D8,3.1961788100621074
Multi-family,Landlords,D5,Oil fuel,A,D9,9.460633753075216
Multi-family,Landlords,D5,Wood fuel,A,D1,0.22135080018199743
Multi-family,Landlords,D5,Wood fuel,A,D10,1.9611502599697284
Multi-family,Landlords,D5,Wood fuel,A,D2,0.0292778210446836
Multi-family,Landlords,D5,Wood fuel,A,D3,0.05047493977350716
Multi-family,Landlords,D5,Wood fuel,A,D4,0.12113703780932085
Multi-family,Landlords,D5,Wood fuel,A,D5,0.320840211648932
Multi-family,Landlords,D5,Wood fuel,A,D6,0.14006407012719685
Multi-family,Landlords,D5,Wood fuel,A,D7,0.254360769067804
Multi-family,Landlords,D5,Wood fuel,A,D8,0.2797779257320027
Multi-family,Landlords,D5,Wood fuel,A,D9,0.8281377998041735
Single-family,Landlords,D5,Oil fuel,A,D1,5.027876648567781
Single-family,Landlords,D5,Oil fuel,A,D10,36.76617740089747
Single-family,Landlords,D5,Oil fuel,A,D2,6.152040745578832
Single-family,Landlords,D5,Oil fuel,A,D3,10.707078127506405
Single-family,Landlords,D5,Oil fuel,A,D4,15.984971788868288
Single-family,Landlords,D5,Oil fuel,A,D5,16.377009672149313
Single-family,Landlords,D5,Oil fuel,A,D6,5.767678852872818
Single-family,Landlords,D5,Oil fuel,A,D7,14.396189520534326
Single-family,Landlords,D5,Oil fuel,A,D8,26.692701306062162
Single-family,Landlords,D5,Oil fuel,A,D9,25.34684134747279
Single-family,Landlords,D5,Wood fuel,A,D1,2.099844176284843
Single-family,Landlords,D5,Wood fuel,A,D10,15.355039293082449
Single-family,Landlords,D5,Wood fuel,A,D2,2.5693404661291033
Single-family,Landlords,D5,Wood fuel,A,D3,4.471707884376124
Single-family,Landlords,D5,Wood fuel,A,D4,6.675969254037693
Single-family,Landlords,D5,Wood fuel,A,D5,6.839700093839659
Single-family,Landlords,D5,Wood fuel,A,D6,2.408815429737359
Single-family,Landlords,D5,Wood fuel,A,D7,6.0124296673026
Single-family,Landlords,D5,Wood fuel,A,D8,11.147949185032566
Single-family,Landlords,D5,Wood fuel,A,D9,10.58586375739108
Multi-family,Landlords,D6,Oil fuel,A,D1,0.4746313217722821
Multi-family,Landlords,D6,Oil fuel,A,D10,21.683655839412776
Multi-family,Landlords,D6,Oil fuel,A,D2,0.17340403761543977
Multi-family,Landlords,D6,Oil fuel,A,D3,0.4470291173223346
Multi-family,Landlords,D6,Oil fuel,A,D4,1.1010352155427108
Multi-family,Landlords,D6,Oil fuel,A,D5,0.8115723658593207
Multi-family,Landlords,D6,Oil fuel,A,D6,2.076495026992581
Multi-family,Landlords,D6,Oil fuel,A,D7,3.5221181406314424
Multi-family,Landlords,D6,Oil fuel,A,D8,3.249469905150518
Multi-family,Landlords,D6,Oil fuel,A,D9,7.131338794865274
Multi-family,Landlords,D6,Wood fuel,A,D1,0.041546914169769945
Multi-family,Landlords,D6,Wood fuel,A,D10,1.8980816198201527
Multi-family,Landlords,D6,Wood fuel,A,D2,0.015178944871566553
Multi-family,Landlords,D6,Wood fuel,A,D3,0.03913075163145223
Multi-family,Landlords,D6,Wood fuel,A,D4,0.09637926006913307
Multi-family,Landlords,D6,Wood fuel,A,D5,0.0710410920649094
Multi-family,Landlords,D6,Wood fuel,A,D6,0.18176626089124037
Multi-family,Landlords,D6,Wood fuel,A,D7,0.30830906721072177
Multi-family,Landlords,D6,Wood fuel,A,D8,0.2844427686365624
Multi-family,Landlords,D6,Wood fuel,A,D9,0.6242426642209031
Single-family,Landlords,D6,Oil fuel,A,D1,2.646516227952873
Single-family,Landlords,D6,Oil fuel,A,D10,37.83197828561021
Single-family,Landlords,D6,Oil fuel,A,D2,3.181771315892973
Single-family,Landlords,D6,Oil fuel,A,D3,6.23840724797608
Single-family,Landlords,D6,Oil fuel,A,D4,11.178780766156342
Single-family,Landlords,D6,Oil fuel,A,D5,9.767817003958944
Single-family,Landlords,D6,Oil fuel,A,D6,10.442272771786321
Single-family,Landlords,D6,Oil fuel,A,D7,19.768370780676044
Single-family,Landlords,D6,Oil fuel,A,D8,18.546413172960722
Single-family,Landlords,D6,Oil fuel,A,D9,42.64668465395968
Single-family,Landlords,D6,Wood fuel,A,D1,1.105291970576325
Single-family,Landlords,D6,Wood fuel,A,D10,15.80016075036418
Single-family,Landlords,D6,Wood fuel,A,D2,1.3288360942290032
Single-family,Landlords,D6,Wood fuel,A,D3,2.60541060264222
Single-family,Landlords,D6,Wood fuel,A,D4,4.668709940699325
Single-family,Landlords,D6,Wood fuel,A,D5,4.079434537564063
Single-family,Landlords,D6,Wood fuel,A,D6,4.361114482245575
Single-family,Landlords,D6,Wood fuel,A,D7,8.256069342963405
Single-family,Landlords,D6,Wood fuel,A,D8,7.745730536827639
Single-family,Landlords,D6,Wood fuel,A,D9,17.810976415657024
Multi-family,Landlords,D7,Oil fuel,A,D1,3.1835299245515056
Multi-family,Landlords,D7,Oil fuel,A,D10,20.05085487588254
Multi-family,Landlords,D7,Oil fuel,A,D2,0.48747271852260793
Multi-family,Landlords,D7,Oil fuel,A,D3,0.19912560040149518
Multi-family,Landlords,D7,Oil fuel,A,D4,0.7118434840278676
Multi-family,Landlords,D7,Oil fuel,A,D5,0.9140237771329265
Multi-family,Landlords,D7,Oil fuel,A,D6,1.6415941662658036
Multi-family,Landlords,D7,Oil fuel,A,D7,3.182324708350124
Multi-family,Landlords,D7,Oil fuel,A,D8,5.185773207545692
Multi-family,Landlords,D7,Oil fuel,A,D9,11.376362728744455
Multi-family,Landlords,D7,Wood fuel,A,D1,0.2786707039020359
Multi-family,Landlords,D7,Wood fuel,A,D10,1.7551541761891658
Multi-family,Landlords,D7,Wood fuel,A,D2,0.0426709874960173
Multi-family,Landlords,D7,Wood fuel,A,D3,0.017430485198475922
Multi-family,Landlords,D7,Wood fuel,A,D4,0.06231131148863625
Multi-family,Landlords,D7,Wood fuel,A,D5,0.08000918960820319
Multi-family,Landlords,D7,Wood fuel,A,D6,0.1436971577703057
Multi-family,Landlords,D7,Wood fuel,A,D7,0.2785652051458901
Multi-family,Landlords,D7,Wood fuel,A,D8,0.45393732877402276
Multi-family,Landlords,D7,Wood fuel,A,D9,0.9958313835893117
Single-family,Landlords,D7,Oil fuel,A,D1,2.5006508406459655
Single-family,Landlords,D7,Oil fuel,A,D10,52.54225405089184
Single-family,Landlords,D7,Oil fuel,A,D2,0.9887723168587805
Single-family,Landlords,D7,Oil fuel,A,D3,1.1286294392920608
Single-family,Landlords,D7,Oil fuel,A,D4,6.155514353421285
Single-family,Landlords,D7,Oil fuel,A,D5,16.857140936358924
Single-family,Landlords,D7,Oil fuel,A,D6,7.762113958912175
Single-family,Landlords,D7,Oil fuel,A,D7,14.764446132584098
Single-family,Landlords,D7,Oil fuel,A,D8,26.339234157397776
Single-family,Landlords,D7,Oil fuel,A,D9,29.077713729963193
Single-family,Landlords,D7,Wood fuel,A,D1,1.04437269879085
Single-family,Landlords,D7,Wood fuel,A,D10,21.943765507666573
Single-family,Landlords,D7,Wood fuel,A,D2,0.41295121904373244
Single-family,Landlords,D7,Wood fuel,A,D3,0.4713611969689338
Single-family,Landlords,D7,Wood fuel,A,D4,2.570791184933182
Single-family,Landlords,D7,Wood fuel,A,D5,7.0402222843134465
Single-family,Landlords,D7,Wood fuel,A,D6,3.2417720106407018
Single-family,Landlords,D7,Wood fuel,A,D7,6.166228488602513
Single-family,Landlords,D7,Wood fuel,A,D8,11.000327040435527
Single-family,Landlords,D7,Wood fuel,A,D9,12.144026614681152
Multi-family,Landlords,D8,Oil fuel,A,D1,0.6524944822108331
Multi-family,Landlords,D8,Oil fuel,A,D10,29.701004163110426
Multi-family,Landlords,D8,Oil fuel,A,D2,0.42871025081932623
Multi-family,Landlords,D8,Oil fuel,A,D3,1.1181622084559655
Multi-family,Landlords,D8,Oil fuel,A,D4,2.9610601218045653
Multi-family,Landlords,D8,Oil fuel,A,D5,0.8569023009340537
Multi-family,Landlords,D8,Oil fuel,A,D6,0.5993432834246832
Multi-family,Landlords,D8,Oil fuel,A,D7,4.304378639020207
Multi-family,Landlords,D8,Oil fuel,A,D8,4.584080322320301
Multi-family,Landlords,D8,Oil fuel,A,D9,8.441202451113547
Multi-family,Landlords,D8,Wood fuel,A,D1,0.05711618893467872
Multi-family,Landlords,D8,Wood fuel,A,D10,2.5998812427991584
Multi-family,Landlords,D8,Wood fuel,A,D2,0.03752720728160605
Multi-family,Landlords,D8,Wood fuel,A,D3,0.0978784736100688
Multi-family,Landlords,D8,Wood fuel,A,D4,0.25919678093045556
Multi-family,Landlords,D8,Wood fuel,A,D5,0.07500905379747863
Multi-family,Landlords,D8,Wood fuel,A,D6,0.05246359187104029
Multi-family,Landlords,D8,Wood fuel,A,D7,0.37678434116356996
Multi-family,Landlords,D8,Wood fuel,A,D8,0.4012680642053134
Multi-family,Landlords,D8,Wood fuel,A,D9,0.7389017488700994
