Housing type,Occupancy status,Income class,Heating energy,Energy performance,Income class owner,Stock buildings
Multi-family,Homeowners,D4,Natural gas,D,D4,56768.52853
Single-family,Homeowners,D4,Natural gas,D,D4,138457.552
Multi-family,Social-housing,D5,Natural gas,D,D10,87152.68539
Single-family,Social-housing,D5,Natural gas,D,D10,20506.16122
Multi-family,Homeowners,D5,Natural gas,D,D5,65174.86673
Single-family,Homeowners,D5,Natural gas,D,D5,157657.3624
Multi-family,Social-housing,D6,Natural gas,D,D10,66617.94252
Single-family,Social-housing,D6,Natural gas,D,D10,16179.51222
Multi-family,Homeowners,D6,Natural gas,D,D6,74833.85458
Single-family,Homeowners,D6,Natural gas,D,D6,174351.7438
Multi-family,Social-housing,D7,Natural gas,D,D10,53015.21377
Single-family,Social-housing,D7,Natural gas,D,D10,11823.65845
Multi-family,Homeowners,D7,Natural gas,D,D7,84507.11869
Single-family,Homeowners,D7,Natural gas,D,D7,187885.6242
Multi-family,Social-housing,D8,Natural gas,D,D10,38456.77262
Single-family,Social-housing,D8,Natural gas,D,D10,8546.10632
Multi-family,Homeowners,D8,Natural gas,D,D8,101520.3651
Single-family,Homeowners,D8,Natural gas,D,D8,207704.315
Multi-family,Social-housing,D9,Natural gas,D,D10,27493.28482
Single-family,Social-housing,D9,Natural gas,D,D10,4640.765187
Multi-family,Homeowners,D9,Natural gas,D,D9,125436.3718
Single-family,Homeowners,D9,Natural gas,D,D9,231365.9859
Multi-family,Social-housing,D10,Natural gas,D,D10,13107.49567
Single-family,Social-housing,D10,Natural gas,D,D10,1599.836622
Multi-family,Homeowners,D10,Natural gas,D,D10,187326.8782
Single-family,Homeowners,D10,Natural gas,D,D10,231734.2862
Multi-family,Social-housing,D1,Power,E,D10,49512.21741
Single-family,Social-housing,D1,Power,E,D10,14742.75957
Multi-family,Homeowners,D1,Power,E,D1,15750.03149
Single-family,Homeowners,D1,Power,E,D1,33268.16401
Multi-family,Social-housing,D2,Power,E,D10,45518.45262
Single-family,Social-housing,D2,Power,E,D10,20176.47262
Multi-family,Homeowners,D2,Power,E,D2,17257.29453
Single-family,Homeowners,D2,Power,E,D2,54559.98827
Multi-family,Social-housing,D3,Power,E,D10,31212.94018
Single-family,Social-housing,D3,Power,E,D10,17012.43955
Multi-family,Homeowners,D3,Power,E,D3,20299.21098
Single-family,Homeowners,D3,Power,E,D3,87689.98188
Multi-family,Social-housing,D4,Power,E,D10,27397.57739
Single-family,Social-housing,D4,Power,E,D10,15564.54426
Multi-family,Homeowners,D4,Power,E,D4,25322.6106
Single-family,Homeowners,D4,Power,E,D4,108714.3734
Multi-family,Social-housing,D5,Power,E,D10,22213.06972
Single-family,Social-housing,D5,Power,E,D10,12156.03645
Multi-family,Homeowners,D5,Power,E,D5,30021.25859
Single-family,Homeowners,D5,Power,E,D5,124529.6724
Multi-family,Social-housing,D6,Power,E,D10,17314.58046
Single-family,Social-housing,D6,Power,E,D10,9309.082707
Multi-family,Homeowners,D6,Power,E,D6,34082.12754
Single-family,Homeowners,D6,Power,E,D6,140328.0925
Multi-family,Social-housing,D7,Power,E,D10,13932.89315
Single-family,Social-housing,D7,Power,E,D10,6951.950174
Multi-family,Homeowners,D7,Power,E,D7,38790.82174
Single-family,Homeowners,D7,Power,E,D7,151543.5926
Multi-family,Social-housing,D8,Power,E,D10,10609.43257
Single-family,Social-housing,D8,Power,E,D10,4476.729432
Multi-family,Homeowners,D8,Power,E,D8,45088.26683
Single-family,Homeowners,D8,Power,E,D8,164671.6219
Multi-family,Social-housing,D9,Power,E,D10,7655.695407
Single-family,Social-housing,D9,Power,E,D10,2507.201339
Multi-family,Homeowners,D9,Power,E,D9,52587.56519
Single-family,Homeowners,D9,Power,E,D9,173461.4901
Multi-family,Social-housing,D10,Power,E,D10,4518.100438
Single-family,Social-housing,D10,Power,E,D10,766.0880084
Multi-family,Homeowners,D10,Power,E,D10,66784.65787
Single-family,Homeowners,D10,Power,E,D10,153581.0582
Multi-family,Social-housing,D1,Natural gas,E,D10,71325.78377
Single-family,Social-housing,D1,Natural gas,E,D10,12907.81865
Multi-family,Homeowners,D1,Natural gas,E,D1,16453.52999
Single-family,Homeowners,D1,Natural gas,E,D1,41878.1484
Multi-family,Social-housing,D2,Natural gas,E,D10,63325.27619
Single-family,Social-housing,D2,Natural gas,E,D10,14220.55566
Multi-family,Homeowners,D2,Natural gas,E,D2,18781.46586
Single-family,Homeowners,D2,Natural gas,E,D2,57057.35102
Multi-family,Social-housing,D3,Natural gas,E,D10,42138.29822
Single-family,Social-housing,D3,Natural gas,E,D10,12509.0935
Multi-family,Homeowners,D3,Natural gas,E,D3,24031.92277
Single-family,Homeowners,D3,Natural gas,E,D3,84798.74251
Multi-family,Social-housing,D4,Natural gas,E,D10,36237.93285
Single-family,Social-housing,D4,Natural gas,E,D10,9981.67113
Multi-family,Homeowners,D4,Natural gas,E,D4,28634.60599
Single-family,Homeowners,D4,Natural gas,E,D4,102530.1323
Multi-family,Social-housing,D5,Natural gas,E,D10,28318.9895
Single-family,Social-housing,D5,Natural gas,E,D10,7337.25909
Multi-family,Homeowners,D5,Natural gas,E,D5,32873.50862
Single-family,Homeowners,D5,Natural gas,E,D5,113746.92
Multi-family,Social-housing,D6,Natural gas,E,D10,21447.66391
Single-family,Social-housing,D6,Natural gas,E,D10,5492.327353
Multi-family,Homeowners,D6,Natural gas,E,D6,37195.6846
Single-family,Homeowners,D6,Natural gas,E,D6,120349.4062
Multi-family,Social-housing,D7,Natural gas,E,D10,17257.57094
Single-family,Social-housing,D7,Natural gas,E,D10,3871.481064
Multi-family,Homeowners,D7,Natural gas,E,D7,41121.80065
Single-family,Homeowners,D7,Natural gas,E,D7,124006.5513
Multi-family,Social-housing,D8,Natural gas,E,D10,12462.86592
Single-family,Social-housing,D8,Natural gas,E,D10,2794.136772
Multi-family,Homeowners,D8,Natural gas,E,D8,48926.36393
Single-family,Homeowners,D8,Natural gas,E,D8,133380.4218
Multi-family,Social-housing,D9,Natural gas,E,D10,9465.976603
Single-family,Social-housing,D9,Natural gas,E,D10,1416.056098
Multi-family,Homeowners,D9,Natural gas,E,D9,58101.19003
Single-family,Homeowners,D9,Natural gas,E,D9,143441.4565
Multi-family,Social-housing,D10,Natural gas,E,D10,5192.639937
Single-family,Social-housing,D10,Natural gas,E,D10,567.9661597
Multi-family,Homeowners,D10,Natural gas,E,D10,85837.28771
Single-family,Homeowners,D10,Natural gas,E,D10,139795.6675
Multi-family,Social-housing,D1,Power,F,D10,21364.034
Single-family,Social-housing,D1,Power,F,D10,6035.862143
Multi-family,Homeowners,D1,Power,F,D1,11571.89359
Single-family,Homeowners,D1,Power,F,D1,22610.57962
Multi-family,Social-housing,D2,Power,F,D10,17864.91293
Single-family,Social-housing,D2,Power,F,D10,7640.040548
Multi-family,Homeowners,D2,Power,F,D2,8602.815781
Single-family,Homeowners,D2,Power,F,D2,29395.84782
Multi-family,Social-housing,D3,Power,F,D10,12267.06761
Single-family,Social-housing,D3,Power,F,D10,6598.879891
Multi-family,Homeowners,D3,Power,F,D3,9771.823223
Single-family,Homeowners,D3,Power,F,D3,44664.36958
Multi-family,Social-housing,D4,Power,F,D10,10497.3582
Single-family,Social-housing,D4,Power,F,D10,5882.768012
Multi-family,Homeowners,D4,Power,F,D4,11131.44464
Single-family,Homeowners,D4,Power,F,D4,52789.77711
Multi-family,Social-housing,D5,Power,F,D10,8546.64505
Single-family,Social-housing,D5,Power,F,D10,4656.954194
Multi-family,Homeowners,D5,Power,F,D5,13027.07168
Single-family,Homeowners,D5,Power,F,D5,57681.3957
Multi-family,Social-housing,D6,Power,F,D10,6534.428248
Single-family,Social-housing,D6,Power,F,D10,3551.293305
Multi-family,Homeowners,D6,Power,F,D6,14848.24833
Single-family,Homeowners,D6,Power,F,D6,61542.69158
Multi-family,Social-housing,D7,Power,F,D10,5305.103927
Single-family,Social-housing,D7,Power,F,D10,2634.922141
Multi-family,Homeowners,D7,Power,F,D7,16773.37225
Single-family,Homeowners,D7,Power,F,D7,63430.31353
Multi-family,Social-housing,D8,Power,F,D10,4091.581409
Single-family,Social-housing,D8,Power,F,D10,1716.096767
Multi-family,Homeowners,D8,Power,F,D8,19584.48639
Single-family,Homeowners,D8,Power,F,D8,65374.81217
Multi-family,Social-housing,D9,Power,F,D10,3233.520152
Single-family,Social-housing,D9,Power,F,D10,1004.838155
Multi-family,Homeowners,D9,Power,F,D9,25183.14587
Single-family,Homeowners,D9,Power,F,D9,64282.93569
Multi-family,Social-housing,D10,Power,F,D10,2180.394436
Single-family,Social-housing,D10,Power,F,D10,314.660787
Multi-family,Homeowners,D10,Power,F,D10,45159.47582
Single-family,Homeowners,D10,Power,F,D10,51431.4152
Multi-family,Social-housing,D1,Natural gas,F,D10,17486.54811
Single-family,Social-housing,D1,Natural gas,F,D10,2734.235803
Multi-family,Homeowners,D1,Natural gas,F,D1,4889.767013
Single-family,Homeowners,D1,Natural gas,F,D1,10647.47204
Multi-family,Social-housing,D2,Natural gas,F,D10,14996.3092
Single-family,Social-housing,D2,Natural gas,F,D10,3514.64717
Multi-family,Homeowners,D2,Natural gas,F,D2,4602.666069
Single-family,Homeowners,D2,Natural gas,F,D2,16527.16682
Multi-family,Social-housing,D3,Natural gas,F,D10,9885.553797
Single-family,Social-housing,D3,Natural gas,F,D10,3083.263939
Multi-family,Homeowners,D3,Natural gas,F,D3,5676.819601
Single-family,Homeowners,D3,Natural gas,F,D3,24860.4693
Multi-family,Social-housing,D4,Natural gas,F,D10,8561.144813
Single-family,Social-housing,D4,Natural gas,F,D10,2527.754897
Multi-family,Homeowners,D4,Natural gas,F,D4,6729.6669
Single-family,Homeowners,D4,Natural gas,F,D4,30502.55231
Multi-family,Social-housing,D5,Natural gas,F,D10,6767.824759
Single-family,Social-housing,D5,Natural gas,F,D10,1806.270825
Multi-family,Homeowners,D5,Natural gas,F,D5,7624.36063
Single-family,Homeowners,D5,Natural gas,F,D5,33492.65935
Multi-family,Social-housing,D6,Natural gas,F,D10,5080.805452
Single-family,Social-housing,D6,Natural gas,F,D10,1317.132709
Multi-family,Homeowners,D6,Natural gas,F,D6,8384.0815
